,title,price,size,avg_rating,taste,score,description,brand,country,state,spirit_type,spirit_style,reviews
357,Bruichladdich The Classic Laddie,44.99,750ml,4.0, ,-1," Islay, Scotland - Made from 100% Scottish barley, trickle distilled, then matured for its entire life by the shores of Lochindaal in premium American oak. Refined and refreshing, the sweet oak and the barley arriving together sending the taste buds into raptures. ",Bruichladdich,Scotland,NA,Scotch,Single Malt,"{'review_1': {'review_desc': '    Overpriced for what it is   ', 'review_cont': ' I understand this is an unpeated Islay. But you have to ask yourself, ""Do I really want to pay more for an unpeated scotch just because it\'s Islay?"". The answer is no. It tastes less interesting than Monkey Shoulder. If you want something more interesting and less expensive, try Highland Park Magnus. Sure it\'s a different style, but its a lot more interesting than this. B&B with Johnnie Walker Double Black tastes better and cost less than this publicity stunt. ', 'review_scor': '3'}}"
358,Bruichladdich The Laddie 10 Yr,84.99,750ml,-1, ,-1," Scotland- Bourbon cask aging lends notes of sweet oak, praline, vanilla, and milk chocolate. Additionall sherry cask aging adds heavier notes of dried fruits, raisins, and sultanas. Finally, it gives way to exotic stone fruit like pineapple and melon from the Syrah casks. ",Bruichladdich,Scotland,Islay & Islands,Scotch,Single Malt,No Reviews
359,Bruichladdich The Organic 2009,99.99,750ml,-1, ,-1," Islay, Scotland- Rich, complex and a fascinating expression of provenance, we can sense, feel and taste the results in the glass. Notes of candied orange and lemon. A touch of marine spice and citrus. Deliciously creamy with very forward barley notes. ",Bruichladdich,Scotland,Islay & Islands,Scotch,Single Malt,No Reviews
360,Buchanan's 12 Yr,27.99,750ml,4.1, ,90," Scotland- This premium 12 year old whisky is easily recognized by its smooth, distinguished and developed flavor. An extremely famous name in Scotch, James Buchanan, marketing a blend from early on. ",Buchanan's,Scotland,NA,Scotch,Blended Scotch,"{'review_1': {'review_desc': '    Really Great   ', 'review_cont': ' This is a well balanced lovely 12 year old at a hugely wonderful price point!  So well balanced. ', 'review_scor': '5'}}"
361,Buchanan's 12 Yr Gift,26.99,750ml Btl,1.0, ,-1," Scotland- This premium 12 year old whisky is easily recognized by its smooth, distinguished and developed flavor. An extremely famous name in Scotch, James Buchanan, making marketing a blend from early on. The perfect holiday gift. ",Buchanan's,Scotland,NA,Scotch,Blended Scotch,
362,Buchanan's 12 Yr w/ glasses,29.99,750ml Btl,-1, ,-1," Scotland - A subtle smoky flavor, the softness of Ham blends perfectly with persistent fruity flavors and vanilla notes found in Buchanan's de Luxe. Aromas of dried peach, butter roasted nuts, cocoa and spice with silky dry-yet-fruity medium body and spice finish. ",Buchanan's,Scotland,NA,Scotch,Blended Scotch,No Reviews
363,Buchanan's 15 Yr,39.99,750ml,5.0, ,-1," Scotland- Amber in the glass and medium bodied, this blended Scotch is aged at least fifteen years. The nose is sweet and creamy, with subtle chocolate and orange notes. The palate is slightly sweet and spicy, yet creamy and fresh, with hints of rosemary and pine. ",Buchanan's,Scotland,NA,Scotch,Blended Scotch,
364,Buchanan's 18 Yr,65.99,750ml,3.3, ,95," Scotland- This premium 18 year old whisky is easily recognized by its smooth, distinguished and developed flavor. An extremely famous name in Scotch, James Buchanan, making marketing a blend from early on. ",Buchanan's,Scotland,NA,Scotch,Blended Scotch,"{'review_1': {'review_desc': '    Wonderful under-the-radar Scotch!   ', 'review_cont': ' One of the best blends I have tried! Lots of notes I associate with very old single malts in this one. Quite surprising!Apples, peaches and leather on the nose.\nPalate is lovely - pecans, dark chocolate, honey and some wonderful barrel funk. \nShort, spicy finish with an ashey note that lingers a bit longer.Will definitely get this again. Quite a lovely dram to have while waiting for an older single malt to open up in its glass. ', 'review_scor': '5'}}"
365,Buchanan's Master,35.99,750ml,5.0, ,-1," Scotland- Light amber in color with aromas of buttered lemon, praline, and cream. Medium body with light smoke and peat balanced with spice and honey notes. A nice, zesty finish. Enjoy neat or on the rocks. ",Buchanan's,Scotland,NA,Scotch,Blended Scotch,"{'review_1': {'review_desc': '    Great Blended   ', 'review_cont': ' Best blended on the market. Smooth and fresh... I usually drink it on the rocks ', 'review_scor': '5'}}"
366,Buchanan's Red Seal 21 Yr Scotch,159.99,750ml,-1, ,91," Scotland- Contains some of the rarest casks of Dalwhinnie Whisky, as well as a small quantity of specially selected casks. These specially selected casks are double matured, first in refill casks, then in charred casks to increase sweetness and smoothness. ",Buchanan's,Scotland,NA,Scotch,Blended Scotch,No Reviews
367,Bunnahabhain 12 Yr,54.99,750ml,4.4, Light . Nut . Salt . Fruit . Mild ,89," Whisky Advocate-Islay, Scotland- An unpeated Islay Scotch that features notes of vanilla fudge, barley grist, fresh sea spray, berries, and nuts all integrated nicely. A gentle, comforting dram that accommodates many moods and situations. ",Bunnahabhain,Scotland,NA,Scotch,Single Malt,"{'review_1': {'review_desc': '    Rye-lay?!?   ', 'review_cont': ' This Islay single malt scotch is of excellent quality, unchillfiltered, natural color, and 46.3% abv. That said, it’s not at all like any other Islay whisky I’ve ever had. There is NO PEAT in this scotch, and the only smoke I get from it is\nfrom the charred oak barrels it’s aged in, and just a whiff of smoke at that. Vanilla bourbon notes on the nose for sure and a little on the palate as well. Warm spices/pepperiness on the palate that are more reminiscent of a good American Rye whiskey than scotch. On the finish there’s just a hint of salty sea air and very light smokey vanilla with the dominant flavor being dry nuttiness, which then fades to a lingering aftertaste of... Playdough. Maybe it’s just me ;). Subtly complex and definitely different, take the voyage to the softer side of Islay. ', 'review_scor': '3'}}"
368,Bunnahabhain 12Yr w/ glasses,64.99,750ml Btl,-1, ,-1," Islay, Scotland- An unpeated Islay Scotch that features notes of vanilla fudge, barley grist, fresh sea spray, berries, and nuts all integrated nicely. A gentle, comforting dram that accommodates many moods and situations. Gift comes with two snifter glasses, perfect for the holidays! ",Bunnahabhain,Scotland,NA,Scotch,Single Malt,No Reviews
369,Bunnahabhain 18 Yr,139.99,750ml,4.5, Rich . Peat . Oak . Long ,92," Islay, Scotland- A smooth, slightly sherry dram with all the understated elegance. Golden with honeyed nuts and a slightly sea-induced salty tang. Rich toffee and leathery with a mellow oak finish ",Bunnahabhain,Scotland,Islay & Islands,Scotch,Single Malt,"{'review_1': {'review_desc': '    Excellent 18 yr scotch   ', 'review_cont': "" This is one of my favorite 18 yr scotches . I got it a while a go from my lovely wife as a birthday-gift and re-stocked multiple times since then. In my personal opinion this one has an excellent balanced flavor. Peaty enough but not overwhelming, well rounded flavors of oak and sherry (not too subtle but also not overwhelming), has a beautiful bold character with a smooth finish. Slightly sweet together with a nice smokiness. Prefer it over pricier 18 yr scotches in my cabinet. Everyone has a different taste but I highly recommend to give this one at least a try, I doubt you'll regret it! "", 'review_scor': '5'}}"
370,Bunnahabhain 1980 Canasta Cask,3399.99,750ml,-1, Rich . Dried Fruit . Coffee . Long ,-1," Islay, Scotland- Rich oakiness with sweet dried fruit, treacle toffee, black coffee, and cocoa notes accented by hints of roasted nuts with a slight hint of coastal brininess. ",Bunnahabhain,Scotland,Islay & Islands,Scotch,Single Malt,No Reviews
371,Bunnahabhain 25 Yr,699.99,750ml,-1, Rich . Sherry . Spice . Long ,90," Islay, Scotland- Sherried style, with the soft, creamy complexity and gentle, sophisticated palate and mouthfeel. Sweet caramel, berries, cream, beautifully entwined with subtle suggestions of oak, spice and polished leather. ",Bunnahabhain,Scotland,Islay & Islands,Scotch,Single Malt,No Reviews
372,Bunnahabhain 40 Yr,3799.99,750ml,-1, Rich . Honey . Chocolate . Fruit . Balanced ,-1," Islay, Scotland- A beautiful 40 year old whisky with fragrant aromas of sweet oak, hazelnuts, citrus peel and chocolate with hints of smokiness. The rich and complex balance of heather honey, ginger chocolate and sweet fruits can be enjoyed neat for a slight spicy nutty finish. ",Bunnahabhain,Scotland,Islay & Islands,Scotch,Single Malt,No Reviews
373,Bunnahabhain 46 Yr,6199.99,750ml,-1, Rich . Malt . Citrus . Spice . Long ,-1," Islay & Islands, Scotland- The oldest Bunnahabhaun ever released. Only 198 bottles available in the world. This unique bottle design is handcrafted in Italy bu internationally renowned glass blowers and metalworkers. Complex aromas with a rich, silky, and perfectly refined palate. ",Bunnahabhain,Scotland,Islay & Islands,Scotch,Single Malt,No Reviews
374,Bunnahabhain Adelphi 1989,259.99,750ml,-1, ,-1,NA,Bunnahabhain,Scotland,Islay & Islands,Scotch,Single Malt,No Reviews
375,Bunnahabhain Ceobanach,69.99,750ml,4.0, ,-1," Islay, Scotland- Ceobanach ('kyaw-bin-och'), meaning smoky mist in Gaelic, reflects the origins of Bunnahabhain, both the place and the single malt's charming, complex character. Rich, complex character marrying ex bourbon cask sweetness with intense peatiness & subtle hints of the sea. ",Bunnahabhain,Scotland,Islay & Islands,Scotch,Single Malt,
376,Bunnahabhain Pedro Ximinez,99.99,750ml,-1, ,-1,NA,Bunnahabhain,Scotland,Islay & Islands,Scotch,Single Malt,No Reviews
377,Bunnahabhain Toiteach,59.99,750ml,4.0, ,-1," Islay, Scotland- A smoky scotch with aromas of spicy warmth and complexity. Sweet fruit flavors with a bit of sweet smoke, dates and a hint of spice from freshly cracked black pepper. A beautifully long, smoky finish. Enjoy sipped on its own over ice. Silver SF World Spirits Competition ",Bunnahabhain,Scotland,NA,Scotch,Single Malt,
378,Cadenhead Aberfeldy 1997 18 Yr,119.99,750ml,-1, ,-1," Highlands, Scotland- Faint hints of green chilies on the nose with apple skins, cinnamon, and lemon meringue. On the palate there are some herbal notes, particularly sage and basil, with soft woodiness. Finish features dried pineapple, white chocolate and spiced apples. ",Cadenhead's,Scotland,Highland,Scotch,Single Malt,No Reviews
379,Cadenhead Auchentoshan 1999 17 Yr,99.99,750ml,-1, ,-1," Lowland, Scotland- Aromas of creamy vanilla mingle with very light floral notes and hints of lemon icing. On the palate, lemon zest, honey and strawberries create a creamy and light experience. The finish is syrupy with hints of nuttiness, dried bananas, and apple peels. ",Cadenhead's,Scotland,Lowland,Scotch,Single Malt,No Reviews
380,Cadenhead Bruichladdich 1992 22 Yr,199.99,750ml,-1, ,-1," Islay, Scotland - To the nose, a little spirity, quite punchy and very fruity, with notes of tinned pineapple, apples and peaches. On the palate, simple, still quite fruity and spirity, with notes of kirsch and plum spirit. The finish is quite long but still very simple. ",Cadenhead's,Scotland,Islay & Islands,Scotch,Single Malt,No Reviews
381,Cadenhead Caol Ila 31 Yr,379.99,750ml,5.0, Intense . Creamy . Smoke . Complex ,-1," Islay & Islands, Scotland- Aromas of sweet BBQ sauce, fishing nets, and smoked mussels with some melted tar and growing creamy notes. The palate is very medicinal with sweet smoke and faint iodine. Finishes with notes of burnt embers, BBQ baked potatoes and lashings of cream. ",Cadenhead's,Scotland,Islay & Islands,Scotch,Single Malt,
382,Cadenhead Dailuaine 1996 19 Yr,129.99,750ml,-1, ,-1," Speyside, Scotland- Oily, grassy, and fruity aromas mix with cinnamon sticks and beeswax. On the palate, butterscotch and ginger ale with lime highlight growing creaminess. Finishes with notes of lemon drizzle cake and sweet toffee sauce. ",Cadenhead's,Scotland,Speyside,Scotch,Single Malt,No Reviews
383,Cadenhead Dalmore 1989 25Yr Barrel Select,269.99,750ml,-1, Medium . Floral . Citrus . Toffee . Balanced ,-1," Highlands, Scotland - Fresh and floral with apple slices, walnuts and growing citrus notes with syrupy orange notes. Grape fruit, passion fruit with hints of spice becoming more orangey with cloves and faint nuttiness. Soft oaken gives way to sweet velvety citrus notes on the finish. ",Cadenhead's,Scotland,Highland,Scotch,Single Malt,No Reviews
384,Cadenhead Dufftown Small Batch,269.99,750ml,-1, Light . Butterscotch . Toffee . Mild ,-1," Speyside, Scotland- Aromas of toffee apples and honey coated cashews with sandalwood and maple syrup. On the palate, butterscotch, bananas, and a hint of mint intermingle with fudge cake and faint meaty notes. The finish highlights brandy snaps and cream with some raspberry. ",Cadenhead's,Scotland,Speyside,Scotch,Single Malt,No Reviews
385,Cadenhead Glen Grant 1997 16 Yr,119.99,750ml,-1, ,-1," Speyside, Scotland - To the nose, both candied and stewed fruits, bubble gum. On the palate, vanilla cheesecake, caramel shortbread, victoria sponge. The finish is short and dry - coco butter. ",Cadenhead's,Scotland,Speyside,Scotch,Single Malt,No Reviews
386,Cadenhead Highland Park 1988 26 Yr Barrel Select,329.99,750ml,-1, Medium . Wood . Toffee . Orange . Complex ,-1," Highlands, Scotland - A little woody but balanced against sweet Highland toffee and orange aromas. Sticky toffee pudding, more orange notes along with some darker fruits, blueberries, black cherries ob the palate leading to a finish that is quite subtle for such a big whisky. ",Cadenhead's,Scotland,Highland,Scotch,Single Malt,No Reviews
387,Cadenhead Highland Park 1988 28Yr,319.99,750ml,-1, Rich . Caramel . Leather . Sherry . Complex ,-1," Islay & Islands, Scotland- Big whisky aromas, quite meaty with lots of dark fruits, old leather, and quite herbal. On the palate, raisins, figs, cigar boxes, and salted caramel intermingle with hints of demerara rum and a whiff of smoke. Huge sherry influence on the finish. ",Cadenhead's,Scotland,Islay & Islands,Scotch,Single Malt,No Reviews
388,Cadenhead Linkwood 1989 26 Yr,259.99,750ml,-1, Medium . Toffee . Honey . Mild ,-1," Speyside, Scotland- Aromas of toffee apples, honey, and faint eucalyptus. On the palate, hardboiled sweets mix with more toffee apples and developing black currant notes. Finishes with notes of candy floss and hints of nutmeg. ",Cadenhead's,Scotland,Speyside,Scotch,Single Malt,No Reviews
389,Cadenhead Strathisla 1997 19 Yr,129.99,750ml,4.0, ,-1," Speyside, Scotland- Aromas are initially waxy with biscuits, banana peels, and custard cream then they grow into white chocolate and vanilla notes. On the palate, soft cinnamon and green apples mix with coconut and heather honey. The finish is thick, chewy, and very smooth. ",Cadenhead's,Scotland,Speyside,Scotch,Single Malt,
390,Cadenhead's Bowmore 14 Yr,109.99,750ml,-1, ,-1," Islay, Scotland- Soft smokiness with notes of strawberries and cream bringing out the smooth texture. Enjoy the lingering smoky finish with soft creamy notes. Try this smooth scotch neat. ",Cadenhead's,Scotland,NA,Scotch,Single Malt,No Reviews
391,Cadenhead's Cameronbridge 24 Year,119.99,750ml,-1, ,-1," Lowlands, Scotland- Sweet butterscotch aromas with notes of lime leaves and digestive biscuits. Flavors of honey and toffee sweets blended with bread dough and milk chocolate and finishing with a touch of aniseed, orange blossom and pears. Enjoy neat! ",Cadenhead's,Scotland,NA,Scotch,Single Malt,No Reviews
392,Cadenhead's Caol Ila 1991 23 Yr Barrel Select,209.99,750ml,-1, Light . Pepper . Peat . Floral . Complex ,-1," Islay, Scotland - One of the lighter Islay whiskies, this barrel has been aged for 23 years, exhibits peaty floral and peppery notes. WM Cadenhead's is Scotland's oldest independent bottler, founded in 1842. This single barrel was selected for its complexity and rich lingering finish. ",Cadenhead's,Scotland,NA,Scotch,Single Malt,No Reviews
393,Cadenhead's Creations 20 Year,97.99,750ml,-1, ,-1, Scotland- An incredibly complex scotch with pleasant spice and oak notes. Mandarin oranges and other fruits combine with nutmeg as the slightly oily palate progresses. Enjoy neat. ,Cadenhead's,Scotland,NA,Scotch,Blended Scotch,No Reviews
394,Cadenhead's Dailuaine 16 Year,75.99,750ml,-1, ,-1," Speyside, Scotland - Aromas of icing, toffee donuts and tons of lemony notes. Faint rhubarb and ginger snap flavors as the toffee shines through with notes of citrus. Finishes with a spiced apple flavor and faint black pepper. Enjoy on the rocks. ",Cadenhead's,Scotland,NA,Scotch,Single Malt,No Reviews
395,Cadenhead's Glen Moray15 Year,75.99,750ml,-1, ,-1," Speyside, Scotland - Refreshing aromas of vibrant peaches, cream and marzipan blending well into the faint sweet chili, custard tarts, coconut and honey flavors. Finishes with soft, zingy citrus notes and a hint of spearmint. Enjoy on its own or on the rocks! ",Cadenhead's,Scotland,NA,Scotch,Single Malt,No Reviews
396,Cadenhead's Glen Spey 12 Yr,69.99,750ml,-1, ,-1," Speyside, Scotland - To the nose, the smell is neutral, light, and clean. The taste is grainy and a little bitter. Growing bittersweet in the finish. It is enjoyed either neat, with ice, water or mixer. ",Cadenhead's,Scotland,NA,Scotch,Single Malt,No Reviews
397,Cadenhead's Glenallachie 20 Yr,189.99,750ml,-1, ,-1," Speyside, Scotland- Brown sugar and honey sweetness with a creamy, nutty flavor of coconut and almonds blended well into a chocolaty raspberry jam taste. Enjoy the citrus finish as the nuttiness develops. Try it on the rocks! ",Cadenhead's,Scotland,NA,Scotch,Single Malt,No Reviews
398,Cadenhead's Glenrothes 18 Year,82.99,750ml,-1, ,-1," Speyside, Scotland - A golden scotch with a unique blend of limeade, honeycomb and mint chocolate on the nose leading to bitter orange and a touch of cinnamon and grassiness in flavor. Finishes with a nice blend of lime, gooseberries and custard cream. Enjoy on the rocks! ",Cadenhead's,Scotland,NA,Scotch,Single Malt,No Reviews
399,Cadenhead's Strathmill 22 Yr,179.99,750ml,-1, ,-1," Speyside, Scotland - The taste is sweet and honeyed, with all of the fruit of the nose combining with hints of toffee and caramel that drifts to a long white pepper finish. It is enjoyed either neat, with ice, water or mixer. ",Cadenhead's,Scotland,NA,Scotch,Single Malt,No Reviews
400,Campbeltown Loch,44.99,750ml,-1, Delicate . Salt . Sweet . Balanced ,-1," Scotland- Blended with Longrow and Springbank whiskies and aged for five years. A nice balance of salty and sweet with a hint of dryness. Oaky, dry finish of medium length. ",Campbeltown,Scotland,NA,Scotch,Blended Scotch,No Reviews
401,Caol Ila 12 Yr,63.99,750ml,4.1, Light . Peat . Mineral . Balanced ,89," Whisky Advocate-Islay, Scotland- ""It was this unpeated style that saved Caol Ila during the great decimation of distilleries in the early '80s. This example is intense and needs lots of water for its fragrance of cut grass, sherbet, and coconut water to emerge. The palate shows boiled sweets..."" ",Caol Ila,Scotland,NA,Scotch,Single Malt,"{'review_1': {'review_desc': '    Lagavulin Light   ', 'review_cont': ' I found Caol Ila 12 y.o. to be very similar to Lagavulin 16 y.o. as far as peatiness goes, but it is lighter colored (as one would expect), lIghter bodied, and has a lighter feel on the palate.  The nose is somewhat intense and the burn of alcohol a wee bit harsh at first.  However, add a splash of water and this whisky is absolutely superb... think Lagavulin Light. ', 'review_scor': '4'}}"
402,Caol Ila 15 yr,124.99,750ml,-1, ,-1," Islay, Scotland- This unpeated, limited edition, natural cask strength Caol Ila has been aged in first fill bourbon casks to bring out its sweet spiciness. As clean and fresh as the pale sky that follows the clearing rain, its intense flavors dance boldly across the tongue like waves. ",Caol Ila,Scotland,Islay & Islands,Scotch,Single Malt,No Reviews
403,Caol Ila 18 Yr,129.99,750ml,-1, ,-1," Wine Enthusiast -Islay, Scotland- ""The opening aroma is slightly prickly...aeration smoothes the aroma out as moderately salty-kippery scents dominate. Palate entry is integrated and sweet, at midpalate the presence of the peat...smoky, woody, resiny tastes. Concludes with a flash of spirity fire."" ",NA,Scotland,Islay & Islands,Scotch,Single Malt,No Reviews
404,Caol Ila 30 Yr,769.99,750ml,-1, Intense . Smoke . Leather . Balanced ,-1," Islay, Scotland- The palate is highlights menthol, melon, mango, rough leather, sourdough and a smokiness that builds before taking center stage on the finish. Overal,l it is a pretty stunning spirit. ",Caol Ila,Scotland,NA,Scotch,Single Malt,No Reviews
405,Caol Ila Stitchell Reserve,129.99,750ml,-1, ,-1," Islay, Scotland- Aroma of fresh herbs, lemon zest and papaya. Medium-bodied, oily whisky. Notes of sweet spiciness, citrus, honeyed oak and roasted nuts. Finish is aromatic and spicy, with touches of cloves, peat, salty tang and cinnamon. Enjoy neat. ",Caol Ila,Scotland,NA,Scotch,Single Malt,No Reviews
406,Cardhu 12 Yr Speyside Single Malt,39.99,750ml,4.5, ,88," Speyside, Scotland- Aromas of pear and heather, with resin, malt and wood notes. Medium bodied. Well balanced palate with a smooth mouthfeel. Finishes short with some lingering sweet smoke in the attractive, drying aftertaste. ",Cardhu,Scotland,Speyside,Scotch,Single Malt,"{'review_1': {'review_desc': '    Awesome   ', 'review_cont': ' Excellent ', 'review_scor': '5'}}"
407,Carlyle Blended Scotch Whisky,13.99,750ml,3.6, Rich . Spice . Smoke . Balanced ,91," Scotland - The deep color and delightfully balanced flavor are the result of heavily aged whisky stocks within the blend. A Christmas-cake nose followed by lighter fruit and toasted walnuts on the palate. December 2017 Whisky Advocate ""Value Pick"" ",Carlyle,Scotland,NA,Scotch,Blended Scotch,"{'review_1': {'review_desc': '    For the price its one of the nicer Scotch Whiskeys   ', 'review_cont': "" Look I drink a lot of whiskey but this one by far tastes like my favorite brandy from Armenia called Ararat, which is made from grapes.  I have no idea how they got the taste to be so close to grapes but I honestly couldn't care. Ararat is not available anywhere, this stuff is. Found my new Whiskey. "", 'review_scor': '5'}}"
408,Cawdor Estate Royal Brackla 12 Yr,45.99,750ml,2.0, ,-1," Highland, Scotland- A 2015 release as part of the Last Great Malts series, Royal Brackla 12 Year Old is finished in first-fill Oloroso sherry casks and is light and spicy with notes of vanilla and black pepper. ",Cawdor Estate,Scotland,Highland,Scotch,Single Malt,
409,Cawdor Estate Royal Brackla 16 Yr,129.99,750ml,-1, ,-1," Highland, Scotland- Aromas of warming toasty notes, rich malt and red berries. There's even a suggestion of tropical fruit in there too. In the mouth chocolate orange, pear and cracked black pepper leads to a creamy, finish. ",Cawdor Estate,Scotland,Highland,Scotch,Single Malt,No Reviews
410,Cawdor Estate Royal Brackla 21 Year,249.99,750ml,-1, ,-1," Scotland- A sweet, spicy and full-bodied Whisky derived from the finest barley croplands in Scotland, and flawless water sourced from the idyllic Cawdor Estate. This Highland Single Malt is finished in the very finest oloroso sherry butts. ",Cawdor Estate,Scotland,Highland,Scotch,Single Malt,No Reviews
411,Chapter 7 Allt-a Bhainne 9Yr,64.99,750ml,-1, ,-1," Scotland- From a small distillery that sits on the mountains of Ben Rinnes. Rich with notes of spice and toffee, with a long finish at cask strength. Enjoy on its own or in your favorite cocktail. ",Chapter 7,Scotland,Speyside,Scotch,Single Malt,No Reviews
412,Chapter 7 Aultmore 9Yr,69.99,750ml,-1, ,-1," Scotland- Full-bodied flavors with a delicate fruitiness intertwined with significant Sherry tones. This liquid comes from a single sherry cask, giving it a clean, crisp flavor. ",Chapter 7,Scotland,Highland,Scotch,Single Malt,No Reviews
413,Chieftain's Linkwood 24,169.99,750ml,-1, ,-1," Speyside, Scotland- A light, floral Speyside, with cherries and rosewater. Built on the outskirts of Elgin in 1821 by Peter Brown, the distillery takes its name from the nearby Linkwood house, which was owned by the Brown family. ",Chieftain's,Scotland,Speyside,Scotch,Single Malt,No Reviews
414,Chivas 18 Yr Pininfarina,139.99,750ml,-1, Rich . Dried Fruit . Toffee . Chocolate . Long ,-1," Scotland- The perfect and unique collaboration of Chivas Regal and Pininfarina. With the idea of liquid shaped by air, the collaborators created an incredibly flavorful scotch whisky encased in a beautiful cask to ensure perfect. Enjoy! ",Chivas,Scotland,NA,Scotch,Blended Scotch,No Reviews
415,Chivas 18 Yr Pininfarina with Glasses,129.99,750ml,-1, ,-1," Scotland- The perfect and unique collaboration of Chivas Regal and Pininfarina. With the idea of liquid shaped by air, the collaborators created an incredibly flavorful scotch whisky encased in a beautiful cask to ensure perfect; along with glasses. Enjoy! ",Chivas,Scotland,NA,Scotch,Blended Scotch,No Reviews
416,Chivas Regal,26.99,750ml,4.4, Rich . Grain . Floral . Balanced ,-1," Scotland- Smooth, rich, and generous, Chivas Regal 12 is an expression of a unique tradition that has continued unbroken since the Chivas Brothers first introduced the world to the Scotch whisky of Chivas Regal. ",Chivas,Scotland,NA,Scotch,Blended Scotch,"{'review_1': {'review_desc': '    My long time favorite   ', 'review_cont': "" I first had this scotch in 1959. Must say something about it if I'm still drinking it now! "", 'review_scor': '5'}}"
417,Chivas Regal 12 yr Gift,29.99,750ml Btl,-1, ,-1," Scotland- Smooth, rich, and generous, Chivas Regal 12 is an expression of a unique tradition that has continued unbroken since the Chivas Brothers first introduced the world to the Scotch whisky of Chivas Regal. ",Chivas,Scotland,NA,Scotch,Blended Scotch,No Reviews
418,Chivas Regal 12 Yr VAP,24.99,750ml Btl,-1, ,-1," Scotland- Renowned for its smoothness, a blend of grain and malt whisky's aged for a minimum of 12 years in oak casks. Round and creamy on the palate, with aromatic flavors of heather and honey. SILVER MEDAL - 2008 SAN FRANCISCO WORLD SPIRITS COMPETITION. A great holiday gift. ",Chivas,Scotland,Speyside,Scotch,Single Malt,No Reviews
419,Chivas Regal 18 Yr,69.99,750ml,5.0, ,95," Wine Enthusiast -Scotland- Matured for a minimum 18 years and containing some of the rarest scotch whiskies from Scotland, it's said you can detect around 85 different flavor notes in Chivas 18. One of the best ultra-premium Scotch whiskies in the world. ",Chivas,Scotland,NA,Scotch,Blended Scotch,"{'review_1': {'review_desc': '    Great Scotch!!!   ', 'review_cont': "" I bought this for my son in-law for Christmas because of how wonderful Chivas is and can't wait to taste it too, because I never had their 18 year old. I have had some good Scotches in my life and Chivas is one of the best. "", 'review_scor': '5'}}"
420,Chivas Regal 25 Yr,429.99,750ml,5.0, Rich . Chocolate . Orange . Long ,96," Scotland- In 1909, Chivas Brothers made distilling history by creating the world's first luxury Scotch whisky, Chivas Regal 25. Each of the hand-selected whiskies has been matured for a minimum of 25 years. Chivas 25 is bottled only twice a year, with each individually numbered. ",Chivas,Scotland,NA,Scotch,Blended Scotch,
421,Chivas Regal Extra Blended,46.99,750ml,4.7, ,-1," Scotland- Chivas Regal Extra takes the unequalled Chivas taste and renowned unique quality to a whole new level. Extra is crafted with some of the Chivas' rarest whiskies and malts, and aged in Sherry Casks from the Oloroso sherry bodegas in Spain. ",Chivas,Scotland,NA,Scotch,Blended Scotch,"{'review_1': {'review_desc': '    Delicious, Easy-Drinker   ', 'review_cont': ' My first experience with Chivas was with their Mizunara cask which was absolutely excellent. Looking to expand I spoke with a few Chivas Ambassadors and all pointed me towards the Extra blend. I am grateful for their recommendation. It has great woody, fruity and sweet aromas that also translate to the palate with some additional nutty notes. This is a wonderful bottle for any occasion at a great price point. ', 'review_scor': '5'}}"
422,Chivas Regal Mizunara,49.99,750ml,-1, ,93, Scotland- The world's first Scotch whisky to be selectively finished in Japanese Mizunara oak casks. A unique signature blend from a hand selection of malt and grain whiskies. True to the smooth and mellow Chivas Regal style and is brilliantly complemented by a subtle touch of spiciness ,Chivas,Scotland,NA,Scotch,Blended Scotch,No Reviews
423,Chivas Regal Ultis,139.99,750ml,-1, ,96," Scotland - Incredibly smooth, filling the mouth with a luxurious milk chocolate/vanilla texture. Flavors of clementine orange and peach, echoing the nose. Also, soft caramel and a sensation of spicy cloves and cinnamon in the background. ",Chivas,Scotland,NA,Scotch,Single Malt,No Reviews
424,Chivas Royal Salute 21 Yr,229.99,750ml,4.9, Rich . Oak . Vanilla . Complex ,95," Scotland- Powerful aromas of vanilla, toasted oak and baked cherries allude to a more subtle layer of cherry blossom and white raisin. Vanilla, dried apricot and a faint trace of smoke and biscuit appear on the palate. CHAIRMAN'S TROPHY WINNER - 2013 ULTIMATE SPIRITS CHALLENGE ",Chivas,Scotland,NA,Scotch,Blended Scotch,"{'review_1': {'review_desc': '    good taste   ', 'review_cont': ' I bought 3 months ago so I’m very happy. Will buy again in the future ', 'review_scor': '5'}}"
425,Chivas Royal Salute 38 Yr,649.99,750ml,-1, Rich . Cedar . Almond . Sherry . Long ,93," Scotland - A rare selection of whiskies aged for 38 years or more. Embossed with the Stone of Destiny, the most powerful symbol of Scottish royalty. Rich notes of cedar, almond, and sherry. Dry fruits linger with a good balance of spice. Long smooth finish. Excellent ",Chivas,Scotland,NA,Scotch,Blended Scotch,No Reviews
